"parameter","model","mean","median","lower","upper","n_eff","Rhat"
"phi","Bob",0.598407340922129,0.598261630301264,0.562142547624045,0.636253692234465,1078.21974915806,1.00216990563754
"phi","streamMetabolizer",0.603350917898281,0.603318788847055,0.56790332286788,0.639212809876176,1410.46304725255,1.00447668679984
"baseline_sigma","Bob",0.0131674255055093,0.0131640630463097,0.0128063954173389,0.0135449673739906,6648.45130563379,0.999821749094216
"baseline_sigma","streamMetabolizer",0.0136343984657444,0.0136362693966773,0.0132528644335119,0.0140262384638275,5367.38890264375,0.999887488890743
"light_alpha","Bob",1.27827493325336,1.2780625470333,1.20563724136244,1.35200453709294,5645.41430394497,0.999689279896148
"light_alpha","streamMetabolizer",1.25307120882283,1.25237676008147,1.1832985398955,1.32659659677299,5047.73972160582,0.999967387595857
"K_meanlog","Bob",3.66519342631594,3.66429618955914,3.57799362522774,3.75621345156573,860.210594421383,1.0043550568515
"K_meanlog","streamMetabolizer",3.6790130994622,3.67941922428688,3.57660822552508,3.77952430997073,938.731516149579,1.00654462483242
"K_sdlog","Bob",0.104347113453008,0.106428338683915,0.0281036341024179,0.169048408431177,240.422243478445,1.01383909876945
"K_sdlog","streamMetabolizer",0.129367495784716,0.130362599144819,0.0508476572854883,0.194574186052104,487.316771969191,1.00456450106178
